<jemalloc>: option background_thread currently supports pthread only
           _                 _    
  __ _  __| |_ __ __ _ _ __ | |_  
 / _` |/ _` | '__/ _` | '_ \| __| 
| (_| | (_| | | | (_| | | | | |_  
 \__, |\__,_|_|  \__,_|_| |_|\__| 
    |_|                           

Version: 1.18.2, build: 44ad62f8
Access web UI at http://localhost:6333/dashboard
Agentic Skills: https://skills.qdrant.tech/

2026-07-05T14:32:02.539933Z  INFO actix_web::middleware::logger: 127.0.0.1 "GET /collections HTTP/1.1" 200 82 "-" "python-client/1.18.0 python/3.14.5" 0.000075
2026-07-05T14:32:02.664030Z ERROR actix_http::h1::dispatcher: stream error: request parse error: invalid Header provided
2026-07-05T14:32:02.675522Z ERROR actix_http::h1::dispatcher: stream error: request parse error: invalid Header provided
2026-07-05T14:33:04.848334Z  INFO actix_web::middleware::logger: 127.0.0.1 "GET /collections HTTP/1.1" 200 82 "-" "python-client/1.18.0 python/3.14.5" 0.000070
2026-07-05T14:33:04.849227Z  INFO actix_web::middleware::logger: 127.0.0.1 "GET /collections HTTP/1.1" 200 81 "-" "python-client/1.18.0 python/3.14.5" 0.000030
2026-07-05T14:33:04.860528Z  INFO actix_web::middleware::logger: 127.0.0.1 "GET /collections HTTP/1.1" 200 82 "-" "python-client/1.18.0 python/3.14.5" 0.000109
2026-07-05T14:33:04.863360Z  INFO storage::content_manager::toc::collection_meta_ops: Creating collection test_pytest_qdrant_platform
2026-07-05T14:33:05.190195Z  INFO actix_web::middleware::logger: 127.0.0.1 "PUT /collections/test_pytest_qdrant_platform HTTP/1.1" 200 71 "-" "python-client/1.18.0 python/3.14.5" 0.327791
2026-07-05T14:33:05.196274Z  INFO actix_web::middleware::logger: 127.0.0.1 "GET /collections/test_pytest_qdrant_platform/exists HTTP/1.1" 200 79 "-" "python-client/1.18.0 python/3.14.5" 0.000188
2026-07-05T14:33:05.357079Z  INFO actix_web::middleware::logger: 127.0.0.1 "PUT /collections/test_pytest_qdrant_platform/index?wait=true HTTP/1.1" 200 92 "-" "python-client/1.18.0 python/3.14.5" 0.158593
2026-07-05T14:33:05.361095Z  INFO actix_web::middleware::logger: 127.0.0.1 "GET /collections/test_pytest_qdrant_platform HTTP/1.1" 200 502 "-" "python-client/1.18.0 python/3.14.5" 0.001005
2026-07-05T14:33:05.400991Z ERROR actix_http::h1::dispatcher: stream error: request parse error: invalid Header provided
2026-07-05T14:33:05.404428Z ERROR actix_http::h1::dispatcher: stream error: request parse error: invalid Header provided
2026-07-05T14:33:11.427381Z  INFO storage::content_manager::toc::collection_meta_ops: Deleting collection test_pytest_qdrant_platform
2026-07-05T14:33:11.436909Z  INFO actix_web::middleware::logger: 127.0.0.1 "DELETE /collections/test_pytest_qdrant_platform HTTP/1.1" 200 71 "-" "python-client/1.18.0 python/3.14.5" 0.009597
2026-07-05T14:33:11.437998Z  INFO storage::content_manager::toc::collection_meta_ops: Creating collection test_pytest_qdrant_platform
2026-07-05T14:33:11.748185Z  INFO actix_web::middleware::logger: 127.0.0.1 "PUT /collections/test_pytest_qdrant_platform HTTP/1.1" 200 71 "-" "python-client/1.18.0 python/3.14.5" 0.310236
2026-07-05T14:33:11.751315Z  INFO actix_web::middleware::logger: 127.0.0.1 "GET /collections/test_pytest_qdrant_platform HTTP/1.1" 200 459 "-" "python-client/1.18.0 python/3.14.5" 0.000530
2026-07-05T14:33:20.651884Z  INFO actix_web::middleware::logger: 127.0.0.1 "GET /collections/test_pytest_qdrant_platform HTTP/1.1" 200 459 "-" "python-client/1.18.0 python/3.14.5" 0.000181
2026-07-05T14:33:38.483564Z  INFO actix_web::middleware::logger: 127.0.0.1 "GET /collections HTTP/1.1" 200 106 "-" "python-client/1.18.0 python/3.14.5" 0.000069
2026-07-05T14:33:38.484505Z  INFO actix_web::middleware::logger: 127.0.0.1 "GET /collections HTTP/1.1" 200 106 "-" "python-client/1.18.0 python/3.14.5" 0.000045
2026-07-05T14:33:38.495134Z  INFO actix_web::middleware::logger: 127.0.0.1 "GET /collections HTTP/1.1" 200 106 "-" "python-client/1.18.0 python/3.14.5" 0.000076
2026-07-05T14:33:38.495847Z  INFO storage::content_manager::toc::collection_meta_ops: Creating collection test_pytest_qdrant_platform
2026-07-05T14:33:38.495913Z  INFO actix_web::middleware::logger: 127.0.0.1 "PUT /collections/test_pytest_qdrant_platform HTTP/1.1" 409 120 "-" "python-client/1.18.0 python/3.14.5" 0.000101
2026-07-05T14:33:38.552081Z  INFO storage::content_manager::toc::collection_meta_ops: Creating collection test_pytest_qdrant_platform
2026-07-05T14:33:38.552158Z  INFO actix_web::middleware::logger: 127.0.0.1 "PUT /collections/test_pytest_qdrant_platform HTTP/1.1" 409 117 "-" "python-client/1.18.0 python/3.14.5" 0.000109
2026-07-05T14:33:38.658209Z  INFO storage::content_manager::toc::collection_meta_ops: Creating collection test_pytest_qdrant_platform
2026-07-05T14:33:38.658367Z  INFO actix_web::middleware::logger: 127.0.0.1 "PUT /collections/test_pytest_qdrant_platform HTTP/1.1" 409 120 "-" "python-client/1.18.0 python/3.14.5" 0.000229
2026-07-05T14:33:38.865843Z  INFO storage::content_manager::toc::collection_meta_ops: Creating collection test_pytest_qdrant_platform
2026-07-05T14:33:38.866123Z  INFO actix_web::middleware::logger: 127.0.0.1 "PUT /collections/test_pytest_qdrant_platform HTTP/1.1" 409 120 "-" "python-client/1.18.0 python/3.14.5" 0.000490
2026-07-05T14:33:39.274062Z  INFO storage::content_manager::toc::collection_meta_ops: Creating collection test_pytest_qdrant_platform
2026-07-05T14:33:39.274349Z  INFO actix_web::middleware::logger: 127.0.0.1 "PUT /collections/test_pytest_qdrant_platform HTTP/1.1" 409 120 "-" "python-client/1.18.0 python/3.14.5" 0.000433
2026-07-05T14:33:40.080400Z  INFO storage::content_manager::toc::collection_meta_ops: Creating collection test_pytest_qdrant_platform
2026-07-05T14:33:40.080932Z  INFO actix_web::middleware::logger: 127.0.0.1 "PUT /collections/test_pytest_qdrant_platform HTTP/1.1" 409 119 "-" "python-client/1.18.0 python/3.14.5" 0.000781
2026-07-05T14:33:40.129698Z ERROR actix_http::h1::dispatcher: stream error: request parse error: invalid Header provided
2026-07-05T14:33:40.134187Z ERROR actix_http::h1::dispatcher: stream error: request parse error: invalid Header provided
2026-07-05T14:33:46.619756Z  INFO storage::content_manager::toc::collection_meta_ops: Creating collection test_collection_pytest
2026-07-05T14:33:46.937337Z  INFO actix_web::middleware::logger: 127.0.0.1 "PUT /collections/test_collection_pytest HTTP/1.1" 200 71 "-" "python-client/1.18.0 python/3.14.5" 0.317641
2026-07-05T14:33:59.733139Z  INFO actix_web::middleware::logger: 127.0.0.1 "GET /collections HTTP/1.1" 200 117 "-" "python-client/1.18.0 python/3.14.5" 0.000074
2026-07-05T14:33:59.734037Z  INFO actix_web::middleware::logger: 127.0.0.1 "GET /collections HTTP/1.1" 200 116 "-" "python-client/1.18.0 python/3.14.5" 0.000032
2026-07-05T14:33:59.744710Z  INFO actix_web::middleware::logger: 127.0.0.1 "GET /collections HTTP/1.1" 200 117 "-" "python-client/1.18.0 python/3.14.5" 0.000092
2026-07-05T14:33:59.745393Z  INFO storage::content_manager::toc::collection_meta_ops: Creating collection test_pytest_qdrant_platform
2026-07-05T14:33:59.745460Z  INFO actix_web::middleware::logger: 127.0.0.1 "PUT /collections/test_pytest_qdrant_platform HTTP/1.1" 409 120 "-" "python-client/1.18.0 python/3.14.5" 0.000112
2026-07-05T14:33:59.801114Z  INFO storage::content_manager::toc::collection_meta_ops: Creating collection test_pytest_qdrant_platform
2026-07-05T14:33:59.801172Z  INFO actix_web::middleware::logger: 127.0.0.1 "PUT /collections/test_pytest_qdrant_platform HTTP/1.1" 409 120 "-" "python-client/1.18.0 python/3.14.5" 0.000082
2026-07-05T14:33:59.907187Z  INFO storage::content_manager::toc::collection_meta_ops: Creating collection test_pytest_qdrant_platform
2026-07-05T14:33:59.907293Z  INFO actix_web::middleware::logger: 127.0.0.1 "PUT /collections/test_pytest_qdrant_platform HTTP/1.1" 409 120 "-" "python-client/1.18.0 python/3.14.5" 0.000153
2026-07-05T14:34:00.114848Z  INFO storage::content_manager::toc::collection_meta_ops: Creating collection test_pytest_qdrant_platform
2026-07-05T14:34:00.115139Z  INFO actix_web::middleware::logger: 127.0.0.1 "PUT /collections/test_pytest_qdrant_platform HTTP/1.1" 409 119 "-" "python-client/1.18.0 python/3.14.5" 0.000431
2026-07-05T14:34:00.520124Z  INFO storage::content_manager::toc::collection_meta_ops: Creating collection test_pytest_qdrant_platform
2026-07-05T14:34:00.520383Z  INFO actix_web::middleware::logger: 127.0.0.1 "PUT /collections/test_pytest_qdrant_platform HTTP/1.1" 409 120 "-" "python-client/1.18.0 python/3.14.5" 0.000402
2026-07-05T14:34:01.328370Z  INFO storage::content_manager::toc::collection_meta_ops: Creating collection test_pytest_qdrant_platform
2026-07-05T14:34:01.328676Z  INFO actix_web::middleware::logger: 127.0.0.1 "PUT /collections/test_pytest_qdrant_platform HTTP/1.1" 409 120 "-" "python-client/1.18.0 python/3.14.5" 0.000489
2026-07-05T14:34:01.379438Z ERROR actix_http::h1::dispatcher: stream error: request parse error: invalid Header provided
2026-07-05T14:34:01.383025Z ERROR actix_http::h1::dispatcher: stream error: request parse error: invalid Header provided
2026-07-05T14:34:12.581223Z  INFO actix_web::middleware::logger: 127.0.0.1 "GET /collections HTTP/1.1" 200 116 "-" "python-client/1.18.0 python/3.14.5" 0.000069
2026-07-05T14:34:12.582198Z  INFO actix_web::middleware::logger: 127.0.0.1 "GET /collections HTTP/1.1" 200 117 "-" "python-client/1.18.0 python/3.14.5" 0.000039
2026-07-05T14:34:12.588994Z  INFO actix_web::middleware::logger: 127.0.0.1 "GET /collections HTTP/1.1" 200 117 "-" "python-client/1.18.0 python/3.14.5" 0.000086
2026-07-05T14:34:12.589649Z  INFO storage::content_manager::toc::collection_meta_ops: Creating collection test_pytest_qdrant_platform
